,"Cor(METAL,ENERGY)","Cor(METAL,AGRICULTURAL)","Cor(ENERGY,AGRICULTURAL)"
6/05/1992,0.129702,0.143999,-0.024161
6/08/1992,0.108866,0.158944,-0.038184
6/09/1992,0.117563,0.145208,-0.059370
6/10/1992,0.124310,0.147737,-0.057752
6/11/1992,0.130304,0.142868,-0.056931
6/12/1992,0.115283,0.148111,-0.056699
6/15/1992,0.101617,0.158983,-0.070307
6/29/1992,0.111694,0.145206,-0.082756
6/30/1992,0.053827,0.145349,-0.084435
7/01/1992,0.062922,0.150269,-0.069057
7/02/1992,0.085699,0.160511,-0.053864
7/07/1992,0.109912,0.158753,-0.050547
7/08/1992,0.124715,0.151331,-0.057748
7/09/1992,0.128665,0.151338,-0.046069
7/10/1992,0.133827,0.126320,-0.044417
7/13/1992,0.137359,0.137892,-0.043845
7/14/1992,0.157606,0.119902,-0.060043
7/15/1992,0.156050,0.092375,-0.049613
7/16/1992,0.168447,0.089418,-0.054416
7/17/1992,0.173456,0.107164,-0.049508
7/20/1992,0.158453,0.118749,-0.049981
7/21/1992,0.150585,0.129860,-0.073643
7/22/1992,0.139141,0.116935,-0.070124
7/23/1992,0.164823,0.167479,-0.028561
7/24/1992,0.170724,0.168503,-0.027162
7/27/1992,0.175394,0.172044,-0.025025
7/28/1992,0.147630,0.202470,-0.064090
7/29/1992,0.154405,0.201289,-0.064766
7/30/1992,0.138656,0.192643,-0.061521
7/31/1992,0.146425,0.201838,-0.055924
8/03/1992,0.135803,0.175027,-0.039297
8/11/1992,0.179120,0.096260,-0.067723
8/12/1992,0.188269,0.125311,-0.051046
8/13/1992,0.143112,0.148786,-0.051691
8/14/1992,0.147935,0.129216,-0.051130
8/17/1992,0.156616,0.136060,-0.044613
8/18/1992,0.131245,0.128128,-0.035436
8/19/1992,0.109553,0.106103,0.003187
8/20/1992,0.106634,0.108132,0.006263
8/21/1992,0.111766,0.112675,0.008252
8/24/1992,0.116605,0.114636,0.002174
8/25/1992,0.130981,0.137432,0.083049
8/26/1992,0.140832,0.149184,0.132201
8/27/1992,0.148651,0.151477,0.133652
8/28/1992,0.161730,0.134065,0.126478
9/02/1992,0.139194,0.137834,0.090754
